"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 21 01:19:06 BST 2021","Wed Jul 21 01:19:24 BST 2021","18651","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Explore""","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Explore""","Then I validate sub menu items ""Recharge, Concepts"" in side nav","Then I validate sub menu items ""Recharge, Concepts"" in side nav",""
"passed","Wed Jul 21 01:18:37 BST 2021","Wed Jul 21 01:18:38 BST 2021","1214","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Why Volvo""","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Why Volvo""","When I click main menu item ""Why Volvo"" in side nav bar","When I click main menu item ""Why Volvo"" in side nav bar",""
"passed","Wed Jul 21 00:36:10 BST 2021","Wed Jul 21 00:36:10 BST 2021","1","","Campaign carousel items: Validate carousel items displayed model name ""XC60 Recharge"" and recharge type ""plug-in hybrid""","","Campaign carousel items: Validate carousel items displayed model name ""XC60 Recharge"" and recharge type ""plug-in hybrid""","","",""
"passed","Wed Jul 21 01:12:28 BST 2021","Wed Jul 21 01:12:44 BST 2021","16719","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Why Volvo""","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Why Volvo""","Then I validate sub menu items ""Our Story, Our Heritage"" in side nav","Then I validate sub menu items ""Our Story, Our Heritage"" in side nav",""
"passed","Wed Jul 21 01:15:03 BST 2021","Wed Jul 21 01:15:03 BST 2021","3","","Campaign carousel items: Validate carousel items displayed model name ""XC40 Recharge"" and recharge type ""plug-in hybrid""","","Campaign carousel items: Validate carousel items displayed model name ""XC40 Recharge"" and recharge type ""plug-in hybrid""","","",""
"passed","Wed Jul 21 00:37:34 BST 2021","Wed Jul 21 00:37:35 BST 2021","515","","Campaign page menu bar and menu items items: Validate Navigation Side bar show hide","","Campaign page menu bar and menu items items: Validate Navigation Side bar show hide","Then I see side navigation bar is ""not displayed""","Then I see side navigation bar is ""not displayed""",""
"unknown","Wed Jul 21 00:43:23 BST 2021","Thu Jan 01 01:00:00 GMT 1970","-1626824603216","","Campaign carousel items: Validate carousel items displayed model name ""XC90 Recharge"" and recharge type ""plug-in hybrid""","","Campaign carousel items: Validate carousel items displayed model name ""XC90 Recharge"" and recharge type ""plug-in hybrid""","Then I see carousel item displayed with model name ""XC90 Recharge"" and recharge type ""plug-in hybrid""","Then I see carousel item displayed with model name ""XC90 Recharge"" and recharge type ""plug-in hybrid""",""
"passed","Wed Jul 21 00:36:24 BST 2021","Wed Jul 21 00:36:34 BST 2021","9657","","Campaign carousel items: Validate carousel items displayed model name ""XC40 Recharge"" and recharge type ""pure electric""","","Campaign carousel items: Validate carousel items displayed model name ""XC40 Recharge"" and recharge type ""pure electric""","Given I am on campaign page","Given I am on campaign page",""
"passed","Wed Jul 21 00:38:26 BST 2021","Wed Jul 21 00:38:28 BST 2021","1604","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Buy""","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Buy""","When I click main menu item ""Buy"" in side nav bar","When I click main menu item ""Buy"" in side nav bar",""
"passed","Wed Jul 21 00:37:33 BST 2021","Wed Jul 21 00:37:34 BST 2021","1084","","Campaign page menu bar and menu items items: Validate Navigation Side bar show hide","","Campaign page menu bar and menu items items: Validate Navigation Side bar show hide","When I click side menu bar close icon","When I click side menu bar close icon",""
